 ___________________________________________________________________________
| agent                     | score | win%  | wins | draws | losses | games |
|___________________________|_______|_______|______|_______|________|_______|
| hydra.py                  | 43    | 0.786 | 44   | 11    | 1      | 56    |
| archive/bumble.py         | 16    | 0.446 | 25   | 22    | 9      | 56    |
| archive/lucker.py         | 15    | 0.429 | 24   | 23    | 9      | 56    |
| archive/meta_fix.py       | 14    | 0.411 | 23   | 24    | 9      | 56    |
| archive/bumble2.py        | 7     | 0.357 | 20   | 23    | 13     | 56    |
| public/rfind.py           | 2     | 0.321 | 18   | 22    | 16     | 56    |
| public/decision_tree_2.py | -2    | 0.25  | 14   | 26    | 16     | 56    |
| public/geometry.py        | -3    | 0.161 | 9    | 35    | 12     | 56    |	
| archive/testing.py        | -6    | 0.304 | 17   | 16    | 23     | 56    |
| public/memory.py          | -6    | 0.179 | 10   | 30    | 16     | 56    |
| public/decision_tree.py   | -8    | 0.214 | 12   | 24    | 20     | 56    |
| archive/dllu1.py          | -11   | 0.286 | 16   | 13    | 27     | 56    |
| archive/IO2.py            | -15   | 0.196 | 11   | 19    | 26     | 56    |
| archive/iocaine.py        | -17   | 0.214 | 12   | 15    | 29     | 56    |
| archive/greenberg.py      | -29   | 0.054 | 3    | 21    | 32     | 56    |
|___________________________|_______|_______|______|_______|________|_______|
